date,venue,race_no,race_id,candidate_rank,buy,trifecta_prob_approx,trifecta_odds,stake_yen,trifecta_return_yen,trifecta_profit_yen,loss_amount_yen,expected_profit_yen
2026-06-30,平塚,1,013520260630,4,1-5-7,0.03664609659382861,102.3,100,10230,10130,100,275
2026-06-30,平塚,1,013520260630,5,1-7-2,0.03664609659382861,27.5,100,2750,2650,100,1
2026-06-30,平塚,1,013520260630,6,1-7-5,0.03664609659382861,48.1,100,4810,4710,100,76
2026-06-30,平塚,1,013520260630,7,2-1-5,0.01994662924215296,273.1,100,27310,27210,100,445
2026-06-30,平塚,1,013520260630,8,2-1-7,0.01994662924215296,75.0,100,7500,7400,100,50
2026-06-30,平塚,2,023520260630,1,3-1-2,0.011951924974326724,84.7,100,8470,8370,100,1
2026-06-30,平塚,2,023520260630,2,3-1-5,0.011951924974326724,198.5,100,19850,19750,100,137
2026-06-30,平塚,2,023520260630,3,3-1-6,0.011951924974326724,116.1,100,11610,11510,100,39
2026-06-30,平塚,2,023520260630,4,1-3-2,0.011707491775157024,78.4,100,7840,7740,100,-8
2026-06-30,平塚,2,023520260630,5,1-3-5,0.011707491775157024,198.3,100,19830,19730,100,132
2026-06-30,平塚,2,023520260630,6,1-3-6,0.011707491775157024,87.2,100,8720,8620,100,2
2026-06-30,平塚,2,023520260630,7,3-2-1,0.011510238639891012,112.1,100,11210,11110,100,29
2026-06-30,平塚,2,023520260630,8,3-5-1,0.011510238639891012,344.2,100,34420,34320,100,296
2026-06-30,平塚,3,033520260630,1,1-2-4,0.013576653476154724,1143.7,100,114370,114270,100,1453
2026-06-30,平塚,3,033520260630,2,1-2-5,0.013576653476154724,799.2,100,79920,79820,100,985
2026-06-30,平塚,3,033520260630,3,1-4-2,0.013576653476154724,2407.1,100,240710,240610,100,3168
2026-06-30,平塚,3,033520260630,4,1-4-5,0.013576653476154724,1072.6,100,107260,107160,100,1356
2026-06-30,平塚,3,033520260630,5,1-5-2,0.013576653476154724,799.2,100,79920,79820,100,985
2026-06-30,平塚,3,033520260630,6,1-5-4,0.013576653476154724,539.0,100,53900,53800,100,632
